date,year,frequency,company,mineral,value,unit
2018-01-01,2018,annual,CNMC Luanshya Copper Mines Plc,Copper,47919.0,tonnes
2018-01-01,2018,annual,Chambishi Metals Plc,Copper,37004.0,tonnes
2018-01-01,2018,annual,Chibuluma Mines Plc,Copper,10350.0,tonnes
2018-01-01,2018,annual,Kalumbila Minerals Limited,Copper,223657.0,tonnes
2018-01-01,2018,annual,Kansanshi Mining Plc,Copper,167676.0,tonnes
2018-01-01,2018,annual,Konkola Copper Mines Plc,Copper,96771.0,tonnes
2018-01-01,2018,annual,Lubambe Copper Mine Limited,Copper,22081.0,tonnes
2018-01-01,2018,annual,Lumwana Mining Co. Limited,Copper,101474.0,tonnes
2018-01-01,2018,annual,Mopani Copper Mines Plc,Copper,62191.0,tonnes
2018-01-01,2018,annual,NFC Africa Mining Plc,Copper,27602.0,tonnes
2018-01-01,2018,annual,Sino-Metals Leach Zambia Limited,Copper,9498.0,tonnes
2019-01-01,2019,annual,CNMC Luanshya Copper Mines Plc,Copper,54046.0,tonnes
2019-01-01,2019,annual,Chambishi Metals Plc,Copper,2243.0,tonnes
2019-01-01,2019,annual,Chibuluma Mines Plc,Copper,6022.0,tonnes
2019-01-01,2019,annual,Kalumbila Minerals Limited,Copper,220006.0,tonnes
2019-01-01,2019,annual,Kansanshi Mining Plc,Copper,177392.0,tonnes
2019-01-01,2019,annual,Konkola Copper Mines Plc,Copper,61943.0,tonnes
2019-01-01,2019,annual,Lubambe Copper Mine Limited,Copper,23013.0,tonnes
2019-01-01,2019,annual,Lumwana Mining Co. Limited,Copper,107901.0,tonnes
2019-01-01,2019,annual,Mopani Copper Mines Plc,Copper,30079.0,tonnes
2019-01-01,2019,annual,NFC Africa Mining Plc,Copper,39374.0,tonnes
2019-01-01,2019,annual,Sino-Metals Leach Zambia Limited,Copper,11070.0,tonnes
2020-01-01,2020,annual,CNMC Luanshya Copper Mines Plc,Copper,56613.0,tonnes
2020-01-01,2020,annual,Chibuluma Mines Plc,Copper,2219.0,tonnes
2020-01-01,2020,annual,Kalumbila Minerals Limited,Copper,251175.0,tonnes
2020-01-01,2020,annual,Kansanshi Mining Plc,Copper,221481.0,tonnes
2020-01-01,2020,annual,Konkola Copper Mines Plc,Copper,64027.0,tonnes
2020-01-01,2020,annual,Lubambe Copper Mine Limited,Copper,21062.0,tonnes
2020-01-01,2020,annual,Lumwana Mining Co. Limited,Copper,124969.0,tonnes
2020-01-01,2020,annual,Mopani Copper Mines Plc,Copper,34482.0,tonnes
2020-01-01,2020,annual,NFC Africa Mining Plc,Copper,48885.0,tonnes
2020-01-01,2020,annual,Sino-Metals Leach Zambia Limited,Copper,13088.0,tonnes
2021-01-01,2021,annual,CNMC Luanshya Copper Mines Plc,Copper,57785.0,tonnes
2021-01-01,2021,annual,Kalumbila Minerals Limited,Copper,232687.0,tonnes
2021-01-01,2021,annual,Kansanshi Mining Plc,Copper,201185.0,tonnes
2021-01-01,2021,annual,Konkola Copper Mines Plc,Copper,58948.0,tonnes
2021-01-01,2021,annual,Lubambe Copper Mine Limited,Copper,18372.0,tonnes
2021-01-01,2021,annual,Lumwana Mining Co. Limited,Copper,108791.0,tonnes
2021-01-01,2021,annual,Mopani Copper Mines Plc,Copper,45311.0,tonnes
2021-01-01,2021,annual,NFC Africa Mining Plc,Copper,62345.0,tonnes
2021-01-01,2021,annual,Sino-Metals Leach Zambia Limited,Copper,15266.0,tonnes
2022-01-01,2022,annual,CNMC Luanshya Copper Mines Plc,Copper,53953.0,tonnes
2022-01-01,2022,annual,Chibuluma Mines Plc,Copper,2981.0,tonnes
2022-01-01,2022,annual,FQM TRIDENT LIMITED,Copper,226287.0,tonnes
2022-01-01,2022,annual,Kalumbila Minerals Limited,Copper,16165.0,tonnes
2022-01-01,2022,annual,Kansanshi Mining Plc,Copper,146278.0,tonnes
2022-01-01,2022,annual,Konkola Copper Mines Plc,Copper,55812.0,tonnes
2022-01-01,2022,annual,Lubambe Copper Mine Limited,Copper,17917.0,tonnes
2022-01-01,2022,annual,Lumwana Mining Co. Limited,Copper,121115.0,tonnes
2022-01-01,2022,annual,Mopani Copper Mines Plc,Copper,41685.0,tonnes
2022-01-01,2022,annual,NFC Africa Mining Plc,Copper,67558.0,tonnes
2022-01-01,2022,annual,Sino-Metals Leach Zambia Limited,Copper,13537.0,tonnes
2023-01-01,2023,annual,CNMC Luanshya Copper Mines Plc,Copper,49109.9,tonnes
2023-01-01,2023,annual,Chibuluma Mines Plc,Copper,3515.0,tonnes
2023-01-01,2023,annual,Kalumbila Minerals Limited,Copper,214223.0,tonnes
2023-01-01,2023,annual,Kansanshi Mining Plc,Copper,134823.0,tonnes
2023-01-01,2023,annual,Konkola Copper Mines Plc,Copper,39597.0,tonnes
2023-01-01,2023,annual,Lubambe Copper Mine Limited,Copper,11310.0,tonnes
2023-01-01,2023,annual,Lumwana Mining Co. Limited,Copper,118002.0,tonnes
2023-01-01,2023,annual,Mimbula Minerals,Copper,1510.0,tonnes
2023-01-01,2023,annual,Mopani Copper Mines Plc,Copper,20664.0,tonnes
2023-01-01,2023,annual,NFC Africa Mining Plc,Copper,68761.0,tonnes
