date,year,company,metric,amount_zmw_billions
1/1/2023,2023,C.C.S,Mineral Royalty,0.018561138
1/1/2023,2023,CNMC,Mineral Royalty,0.561227382
1/1/2023,2023,Chilanga Cement,Mineral Royalty,0.015819989
1/1/2023,2023,FQM. T,Mineral Royalty,2.274644568
1/1/2023,2023,KAGEM,Mineral Royalty,0.110058992
1/1/2023,2023,KCM,Mineral Royalty,0.071352348
1/1/2023,2023,Kansanshi,Mineral Royalty,1.541668768
1/1/2023,2023,L.C.M,Mineral Royalty,0.180455047
1/1/2023,2023,Lumwana Mining,Mineral Royalty,1.338626265
1/1/2023,2023,Maamba Coll,Mineral Royalty,0.057750572
1/1/2023,2023,Mopani C.M,Mineral Royalty,0.021443226
1/1/2023,2023,NFCA,Mineral Royalty,0.60835397
1/1/2023,2023,Others,Mineral Royalty,0.753720978
1/1/2023,2023,ZCCM-IH,Mineral Royalty,0.001478649
1/1/2024,2024,C.C.S,Total Tax,3.465
1/1/2024,2024,CNMC,Total Tax,2.224
1/1/2024,2024,Chilanga Cement,Total Tax,0.464
1/1/2024,2024,FQM. O,Total Tax,0.213
1/1/2024,2024,FQM. T,Total Tax,7.328
1/1/2024,2024,KAGEM,Total Tax,0.298
1/1/2024,2024,KCM,Total Tax,0.381
1/1/2024,2024,Kansanshi,Total Tax,6.376
1/1/2024,2024,L.C.M,Total Tax,0.408
1/1/2024,2024,Lumwana,Total Tax,5.335
1/1/2024,2024,Maamba Coll,Total Tax,1.31
1/1/2024,2024,Mopani C.M,Total Tax,1.627
1/1/2024,2024,NFCA,Total Tax,1.602
1/1/2024,2024,Others,Total Tax,4.903
1/1/2024,2024,ZCCM-IH,Total Tax,0.241
1/1/2021,2021,C.C.S,Total Payments to Govt,4.537
1/1/2021,2021,CNMC,Total Payments to Govt,2.811
1/1/2021,2021,Chilanga Cement,Total Payments to Govt,0.459
1/1/2021,2021,FQM. O,Total Payments to Govt,1.717
1/1/2021,2021,FQM. T,Total Payments to Govt,8.006
1/1/2021,2021,KCM,Total Payments to Govt,0.796
1/1/2021,2021,Kagem,Total Payments to Govt,0.307
1/1/2021,2021,Kansanshi,Total Payments to Govt,11.703
1/1/2021,2021,L.C.M,Total Payments to Govt,0.532
1/1/2021,2021,Lumwana Mining,Total Payments to Govt,5.42
1/1/2021,2021,Maamba Coll,Total Payments to Govt,0.597
1/1/2021,2021,Mopani C.M,Total Payments to Govt,1.399
1/1/2021,2021,NFCA,Total Payments to Govt,2.261
1/1/2021,2021,ZCCM-IH,Total Payments to Govt,0.059
1/1/2022,2022,C.C.S,Total Payments to Govt,3.992
1/1/2022,2022,CNMC,Total Payments to Govt,2.003
1/1/2022,2022,FQM. O,Total Payments to Govt,1.277
1/1/2022,2022,FQM. T,Total Payments to Govt,0.275
1/1/2022,2022,KCM,Total Payments to Govt,0.319
1/1/2022,2022,Kagem,Total Payments to Govt,0.63
1/1/2022,2022,Kansanshi,Total Payments to Govt,10.702
1/1/2022,2022,L.C.M,Total Payments to Govt,0.478
1/1/2022,2022,Lumwana Mining,Total Payments to Govt,4.068
1/1/2022,2022,Maamba Coll,Total Payments to Govt,0.832
1/1/2022,2022,Mopani C.M,Total Payments to Govt,1.474
1/1/2023,2023,C.C.S,Total Payments to Govt,1.113
1/1/2023,2023,CNMC,Total Payments to Govt,2.124
1/1/2023,2023,FQM. O,Total Payments to Govt,1
1/1/2023,2023,FQM. T,Total Payments to Govt,0.546
1/1/2023,2023,KCM,Total Payments to Govt,1.876
1/1/2023,2023,Kagem,Total Payments to Govt,0.636
1/1/2023,2023,Kansanshi,Total Payments to Govt,6.294
1/1/2023,2023,Lumwana Mining,Total Payments to Govt,3.385
1/1/2023,2023,Maamba Coll,Total Payments to Govt,1.513
1/1/2023,2023,Mopani C.M,Total Payments to Govt,0.393
1/1/2023,2023,ZCCM-IH,Total Payments to Govt,0.141
1/1/2023,2023,CHAMBISHICOPPERSMELTERLIMITED,Production Value ZMW,0.9876
1/1/2023,2023,CNMCLuanshyaCoppermines,Production Value ZMW,0.1776
1/1/2023,2023,FQMTrident,Production Value ZMW,1.5714
1/1/2023,2023,KonkolaCopperMine,Production Value ZMW,0.1642
1/1/2023,2023,Lubambe,Production Value ZMW,0.1267
1/1/2023,2023,Lumwana,Production Value ZMW,0.9998
