date,year,indicator,value,unit
2009-01-01,2009,Active Mining Licences,560.0,count
2010-01-01,2010,Active Mining Licences,634.0,count
2011-01-01,2011,Active Mining Licences,1468.0,count
2012-01-01,2012,Active Mining Licences,1739.0,count
2013-01-01,2013,Active Mining Licences,2115.0,count
2014-01-01,2014,Active Mining Licences,1916.0,count
2015-01-01,2015,Active Mining Licences,1759.0,count
2016-01-01,2016,Active Mining Licences,2336.0,count
2017-01-01,2017,Active Mining Licences,1501.0,count
2018-01-01,2018,Active Mining Licences,2393.0,count
2019-01-01,2019,Active Mining Licences,3356.0,count
2020-01-01,2020,Active Mining Licences,3570.0,count
2021-01-01,2021,Active Mining Licences,4303.0,count
2022-01-01,2022,Active Mining Licences,4246.0,count
2023-01-01,2023,Active Mining Licences,2114.0,count
2024-01-01,2024,Active Mining Licences,2324.0,count
2025-01-01,2025,Active Mining Licences,2501.0,count
2009-01-01,2009,EPF Contributions,9.55,ZMW millions
2010-01-01,2010,EPF Contributions,0.12,ZMW millions
2011-01-01,2011,EPF Contributions,24.48,ZMW millions
2012-01-01,2012,EPF Contributions,1.0,ZMW millions
2013-01-01,2013,EPF Contributions,10.0,ZMW millions
2014-01-01,2014,EPF Contributions,20.0,ZMW millions
2016-01-01,2016,EPF Contributions,10.0,ZMW millions
2017-01-01,2017,EPF Contributions,2.28,ZMW millions
2018-01-01,2018,EPF Contributions,23.33,ZMW millions
2019-01-01,2019,EPF Contributions,1.24,ZMW millions
2020-01-01,2020,EPF Contributions,50.63,ZMW millions
2021-01-01,2021,EPF Contributions,0.3,ZMW millions
2022-01-01,2022,EPF Contributions,19.0,ZMW millions
2023-01-01,2023,EPF Contributions,87.67,ZMW millions
2024-01-01,2024,EPF Contributions,220.8,ZMW millions
2021-01-01 00:00:00,2021,ZESCO Mine Energy Consumption (MWh),6361793.0,MWh
2022-01-01 00:00:00,2022,ZESCO Mine Energy Consumption (MWh),6373907.0,MWh
2023-01-01 00:00:00,2023,ZESCO Mine Energy Consumption (MWh),6570129.0,MWh
2024-01-01 00:00:00,2024,ZESCO Mine Energy Consumption (MWh),5870888.0,MWh
2025-01-01 00:00:00,2025,ZESCO Mine Energy Consumption (MWh),6719698.0,MWh
2021-01-01,2021,ZESCO Mine Power Demand (MW),8713.0,MW
2022-01-01,2022,ZESCO Mine Power Demand (MW),8730.0,MW
2023-01-01,2023,ZESCO Mine Power Demand (MW),9001.0,MW
2024-01-01,2024,ZESCO Mine Power Demand (MW),8042.0,MW
2025-01-01,2025,ZESCO Mine Power Demand (MW),9200.0,MW
2025-01-01,2025,ZESCO Mine Power Demand Forecast (MW),1186.4,MW
2026-01-01,2026,ZESCO Mine Power Demand Forecast (MW),1196.65,MW
2027-01-01,2027,ZESCO Mine Power Demand Forecast (MW),1209.9,MW
2028-01-01,2028,ZESCO Mine Power Demand Forecast (MW),1219.15,MW
2029-01-01,2029,ZESCO Mine Power Demand Forecast (MW),1225.4,MW
2030-01-01,2030,ZESCO Mine Power Demand Forecast (MW),1232.4,MW
2031-01-01,2031,ZESCO Mine Power Demand Forecast (MW),1195.4,MW
