date,year,month,lme_copper_usd_per_tonne
2000-01-01,2000,1,1843.98
2000-02-01,2000,2,1800.83
2000-03-01,2000,3,1739.39
2000-04-01,2000,4,1678.75
2000-05-01,2000,5,1785.62
2000-06-01,2000,6,1753.18
2000-07-01,2000,7,1799.36
2000-08-01,2000,8,1855.86
2000-09-01,2000,9,1960.41
2000-10-01,2000,10,1898.59
2000-11-01,2000,11,1795.11
2000-12-01,2000,12,1850.55
2001-01-01,2001,1,1787.5
2001-02-01,2001,2,1765.65
2001-03-01,2001,3,1738.77
2001-04-01,2001,4,1664.16
2001-05-01,2001,5,1682.21
2001-06-01,2001,6,1608.45
2001-07-01,2001,7,1525.21
2001-08-01,2001,8,1464.43
2001-09-01,2001,9,1426.33
2001-10-01,2001,10,1377.28
2001-11-01,2001,11,1427.73
2001-12-01,2001,12,1471.74
2002-01-01,2002,1,1503.96
2002-02-01,2002,2,1561.9
2002-03-01,2002,3,1604.88
2002-04-01,2002,4,1590.33
2002-05-01,2002,5,1595.68
2002-06-01,2002,6,1647.53
2002-07-01,2002,7,1589.46
2002-08-01,2002,8,1479.55
2002-09-01,2002,9,1478.71
2002-10-01,2002,10,1483.76
2002-11-01,2002,11,1582.29
2002-12-01,2002,12,1595.68
2003-01-01,2003,1,1647.66
2003-02-01,2003,2,1683.8
2003-03-01,2003,3,1658.98
2003-04-01,2003,4,1587.48
2003-05-01,2003,5,1648.28
2003-06-01,2003,6,1686.5
2003-07-01,2003,7,1710.0
2003-08-01,2003,8,1760.28
2003-09-01,2003,9,1789.52
2003-10-01,2003,10,1920.54
2003-11-01,2003,11,2055.43
2003-12-01,2003,12,2201.29
2004-01-01,2004,1,2423.57
2004-02-01,2004,2,2759.53
2004-03-01,2004,3,3008.72
2004-04-01,2004,4,2948.73
2004-05-01,2004,5,2733.5
2004-06-01,2004,6,2686.71
2004-07-01,2004,7,2808.43
2004-08-01,2004,8,2846.1
2004-09-01,2004,9,2894.86
2004-10-01,2004,10,3012.24
2004-11-01,2004,11,3122.8
2004-12-01,2004,12,3145.45
2005-01-01,2005,1,3170.0
2005-02-01,2005,2,3253.7
2005-03-01,2005,3,3379.49
2005-04-01,2005,4,3394.48
2005-05-01,2005,5,3249.1
2005-06-01,2005,6,3524.07
2005-07-01,2005,7,3614.21
2005-08-01,2005,8,3797.75
2005-09-01,2005,9,3857.84
2005-10-01,2005,10,4059.76
2005-11-01,2005,11,4269.34
2005-12-01,2005,12,4576.78
2006-01-01,2006,1,4734.33
2006-02-01,2006,2,4982.4
2006-03-01,2006,3,5102.85
2006-04-01,2006,4,6387.78
2006-05-01,2006,5,8045.86
2006-06-01,2006,6,7197.61
2006-07-01,2006,7,7712.1
2006-08-01,2006,8,7695.66
2006-09-01,2006,9,7602.36
2006-10-01,2006,10,7500.39
