date,year,quarter,copper_exports_usd_millions,total_exports_usd_millions,copper_pct_of_exports
2000-01-01,2000,1,90.064244,176.83609349979156,50.9
2000-04-01,2000,2,101.44363,176.4064507086286,57.5
2000-07-01,2000,3,115.22267,202.02239187161317,57.0
2000-10-01,2000,4,118.47053,216.31152880366818,54.8
2001-01-01,2001,1,128.91269,223.352995,57.7
2001-04-01,2001,2,129.86746,239.607495,54.2
2001-07-01,2001,3,128.32011,241.34669499999998,53.2
2001-10-01,2001,4,119.55852,223.757935,53.4
2002-01-01,2002,1,171.73384,259.02842999999996,66.3
2002-04-01,2002,2,133.83760999999998,234.06520999999998,57.2
2002-07-01,2002,3,129.40366,242.09055,53.5
2002-10-01,2002,4,132.39132,274.38754,48.2
2003-01-01,2003,1,132.98386,224.6224102490662,59.2
2003-04-01,2003,2,146.74831,281.3261624145765,52.2
2003-07-01,2003,3,165.96587,304.9721557468915,54.4
2003-10-01,2003,4,164.87973000000002,298.6014915894658,55.2
2004-01-01,2004,1,226.36665,403.41037574190904,56.1
2004-04-01,2004,2,273.60034,472.66084103437754,57.9
2004-07-01,2004,3,277.57689,495.38562400815766,56.0
2004-10-01,2004,4,304.93599,499.8928627460419,61.0
2005-01-01,2005,1,265.11513,439.63574404080003,60.3
2005-04-01,2005,2,342.63466,528.6921398482001,64.8
2005-07-01,2005,3,408.4734,623.12921006,65.6
2005-10-01,2005,4,499.39822,686.7701073799999,72.7
2006-01-01,2006,1,565.1605699999999,754.7702647594215,74.9
2006-04-01,2006,2,928.9617900000001,1168.6717033517505,79.5
2006-07-01,2006,3,862.44115,1119.3314087386657,77.0
2006-10-01,2006,4,672.7651099999999,942.0337087061622,71.4
2007-01-01,2007,1,657.467929,872.5502040243208,75.4
2007-04-01,2007,2,862.746449,1168.1431027708718,73.9
2007-07-01,2007,3,1027.926659,1350.8531838300712,76.1
2007-10-01,2007,4,858.394849,1164.0758340747361,73.7
2008-01-01,2008,1,1035.48139,1344.33399338578,77.0
2008-04-01,2008,2,1126.08702,1474.859905095124,76.4
2008-07-01,2008,3,856.2240899999999,1248.9097864998757,68.6
2008-10-01,2008,4,669.67085,945.0192950192202,70.9
2009-01-01,2009,1,497.50178999999997,673.5406531889269,73.9
2009-04-01,2009,2,666.83776,917.7833434099464,72.7
2009-07-01,2009,3,947.8282800000001,1345.4558262861142,70.4
2009-10-01,2009,4,1067.11795,1435.129959324394,74.4
2010-01-01,2010,1,1311.5188899999998,1702.5997247802625,77.0
2010-04-01,2010,2,1267.1525800000002,1698.9599910928816,74.6
2010-07-01,2010,3,1534.91601,2003.14526187526,76.6
2010-10-01,2010,4,1654.2740900000008,2078.783773718263,79.6
2011-01-01,2011,1,1751.08896,2170.6825503563864,80.7
2011-04-01,2011,2,1625.8092481286062,2111.3470807702893,77.0
2011-07-01,2011,3,1821.2528671298026,2383.5128009989785,76.4
2011-10-01,2011,4,1461.55402,2088.073221274691,70.0
2012-01-01,2012,1,1510.9694984569999,2254.8761256651023,67.0
2012-04-01,2012,2,1470.03745,2149.6210984879617,68.4
2012-07-01,2012,3,1779.1181520058517,2495.983478300894,71.3
2012-10-01,2012,4,1534.3676,2620.310025039621,58.6
2013-01-01,2013,1,1772.827714118774,2698.4616476425927,65.7
2013-04-01,2013,2,1704.21884,2743.5364610324837,62.1
2013-07-01,2013,3,1628.9778100785927,2607.095581921087,62.5
2013-10-01,2013,4,1805.35419,2794.280632988586,64.6
2014-01-01,2014,1,1873.4559756784538,2503.6743535628175,74.8
2014-04-01,2014,2,1830.57872,2482.5276443810467,73.7
2014-07-01,2014,3,1978.8388548543999,2641.377498428237,74.9
2014-10-01,2014,4,1935.6380842992999,2592.571907787838,74.7
2015-01-01,2015,1,1277.2167676830002,1880.6134620295977,67.9
2015-04-01,2015,2,1328.3354724948001,1753.405441929398,75.8
2015-07-01,2015,3,1374.4857707328003,1933.0879967506464,71.1
2015-10-01,2015,4,1253.5741381545,1794.846349589078,69.8
2016-01-01,2016,1,1043.0801889615868,1539.123151621918,67.8
2016-04-01,2016,2,1071.184665146433,1577.1883901924684,67.9
2016-07-01,2016,3,1031.761992023452,1608.3690724637827,64.1
2016-10-01,2016,4,1253.0970145100803,1810.1386715240776,69.2
2017-01-01,2017,1,1429.4968430000001,1887.197363523995,75.7
2017-04-01,2017,2,1428.281546,1903.0622594109946,75.1
2017-07-01,2017,3,1396.4819194797108,1995.5855727267055,70.0
2017-10-01,2017,4,1864.383834971,2429.7044623453553,76.7
2018-01-01,2018,1,1907.6097242460985,2414.245204330963,79.0
2018-04-01,2018,2,1641.1982522461046,2230.8321921809693,73.6
2018-07-01,2018,3,1628.639435397882,2289.6788128887465,71.1
2018-10-01,2018,4,1480.9369355135043,2094.6453468118343,70.7
2019-01-01,2019,1,1431.9026412179999,1926.5775140666049,74.3
2019-04-01,2019,2,1320.268447256,1885.1318330944048,70.0
2019-07-01,2019,3,1013.7536994419999,1612.3203255574049,62.9
2019-10-01,2019,4,1228.5965251819998,1822.028148411405,67.4
2020-01-01,2020,1,1188.4345586174607,1673.0927073508567,71.0
2020-04-01,2020,2,1200.7711532558171,1646.7765545793568,72.9
2020-07-01,2020,3,1687.813923738297,2311.4456754802122,73.0
2020-10-01,2020,4,1790.6829267911376,2371.5384674868255,75.5
2021-01-01,2021,1,1913.0225431867166,2464.861262346232,77.6
2021-04-01,2021,2,2074.6832717583707,2750.97181413334,75.4
2021-07-01,2021,3,2088.822750856183,2863.673194863978,72.9
2021-10-01,2021,4,2319.9361628182605,3122.4734289312737,74.3
2022-01-01,2022,1,2280.1,3016.5,75.6
2022-04-01,2022,2,2132.2,2939.2,72.5
2022-07-01,2022,3,1925.4,2862.9,67.3
2022-10-01,2022,4,1790.9,2686.2,66.7
2023-01-01,2023,1,1679.1,2624.2,64.0
2023-04-01,2023,2,1718.2,2683.6,64.0
2023-07-01,2023,3,1737.4,2772.3,62.7
2023-10-01,2023,4,1482.7,2441.0,60.7
2024-01-01,2024,1,1479.4200252900002,2379.1898813880343,62.2
2024-04-01,2024,2,1993.525672,2941.2954761134906,67.8
2024-07-01,2024,3,1892.171593,2917.1056176503703,64.9
2024-10-01,2024,4,2128.7891010000003,3129.196925749205,68.0
2025-01-01,2025,1,1981.51517,2880.679029792091,68.8
2025-04-01,2025,2,1984.269988,3034.9729647741838,65.4
2025-07-01,2025,3,2280.660083,3697.43930635834,61.7
2025-10-01,2025,4,2675.494957,3933.9220311077615,68.0
2026-01-01,2026,1,3226.1355000000003,4477.510008186761,72.1
